사업장명,모집직종,고용형태,임금형태,임금,입사형태,사업장 주소,기업형태,담당기관
쿠팡풀필먼트서비스유한회사,모니터 요원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기동부지사
쿠팡풀필먼트서비스유한회사,물류 사무원(물류 관리사),계약직,월급,2600400.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,서울동부지사
쿠팡 주식회사,환경·청소 관리자,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
롯데쇼핑(주)롯데슈퍼사업본부,매장 정리원(매장 보조원),계약직,시급,9620.0,무관,"서울특별시 송파구 올림픽로 269 3층 (신천동, 롯데캐슬골드)",중소,서울동부지사
동경(주)잠실지점,주방 보조원(일반 음식점),상용직,월급,2010580.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 지하 1층,중소,서울동부지사
쿠팡 주식회사,고객 상담원(인터넷·통신),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,UX/UI 디자이너,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,교육·훈련 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,웹 운영자(홈페이지 관리자),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
서울동부지방검찰청,공공행정 사무원,상용직,월급,2010580.0,무관,서울특별시 송파구 정의로 30 (문정동),"공사,공공",서울동부지사
(주)씨젠,직업 운동선수,상용직,시급,9620.0,무관,서울특별시 송파구 오금로 91 (방이동),중소,서울동부지사
쿠팡풀필먼트서비스유한회사,인사 사무원,계약직,월급,1300000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기지역본부
롯데쇼핑(주)롯데슈퍼사업본부,매장 정리원(매장 보조원),계약직,시급,9620.0,무관,"서울특별시 송파구 올림픽로 269 3층 (신천동, 롯데캐슬골드)",중소,서울동부지사
(주)한국디씨엠,기타 서비스 단순종사원,상용직,월급,2300000.0,무관,"서울특별시 송파구 송파대로 201 테라타워2 A동 G205호, G206호, G208호 (문정동)",중소,서울동부지사
와이씨에프엔비(주),음료 조리사,상용직,월급,1010000.0,무관,서울특별시 송파구 백제고분로41길 30 1층(송파동),중소,서울동부지사
서울동부지방검찰청,공공행정 사무원,상용직,월급,2010580.0,무관,서울특별시 송파구 정의로 30 (문정동),"공사,공공",서울동부지사
쿠팡풀필먼트서비스유한회사,사무 보조원,계약직,월급,1300000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기동부지사
에이피알 커뮤니케이션즈,음료 조리사,계약직,월급,1570000.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
(주)씨젠,직업 운동선수,상용직,시급,9620.0,무관,서울특별시 송파구 오금로 91 (방이동),중소,서울동부지사
한국체육산업개발(주),네트워크 시스템 개발자,상용직,연봉,27400000.0,경력,서울특별시 송파구 올림픽로 424 우리금융아트홀,"공사,공공",서울동부지사
한국체육산업개발(주),도서 정리원 및 사서보조원,상용직,연봉,25500000.0,경력,서울특별시 송파구 올림픽로 424 우리금융아트홀,"공사,공공",서울동부지사
한국체육산업개발(주),건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),상용직,연봉,25500000.0,무관,서울특별시 송파구 올림픽로 424 우리금융아트홀,"공사,공공",서울동부지사
한국체육산업개발(주),총무 및 일반 사무원,상용직,연봉,27500000.0,무관,서울특별시 송파구 올림픽로 424 우리금융아트홀,"공사,공공",서울동부지사
한국체육산업개발(주),환경 미화원,상용직,연봉,24100000.0,무관,서울특별시 송파구 올림픽로 424 우리금융아트홀,"공사,공공",서울동부지사
서울아산병원,안마사,계약직,월급,1800000.0,무관,서울특별시 송파구 올림픽로43길 88  (풍납동),중소,서울동부지사
씨피엘비,총무 및 일반 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
씨피엘비,사무 보조원,계약직,월급,2100000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
(주)미라콤아이앤씨,인사 사무원,계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
(주)미라콤아이앤씨,IT 기술지원 전문가,계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
쿠팡풀필먼트서비스유한회사,모니터 요원,계약직,시급,9620.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기북부지사
롯데케미칼주식회사,음료 조리사,계약직,시급,9620.0,무관,"서울특별시 송파구 올림픽로 300  (신천동, 롯데월드타워)",중소,대전지역본부
쿠팡풀필먼트서비스유한회사,사무 보조원,계약직,시급,9620.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기서부지사
동경(주)잠실지점,주방 보조원(일반 음식점),상용직,월급,2010580.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 지하 1층,중소,서울동부지사
(주)공업사스토어,총무 및 일반 사무원,상용직,월급,2010580.0,무관,서울특별시 송파구 송파대로 201 테라타워2 A동 1507-1508호,중소,서울동부지사
(주)공업사스토어,기타 서비스 단순종사원,상용직,연봉,30000000.0,무관,서울특별시 송파구 송파대로 201 테라타워2 A동 1507-1508호,중소,서울동부지사
롯데컬처웍스(주),환경 미화원,상용직,시급,9620.0,무관,서울특별시 송파구 올림픽로 300 (신천동)27층,대기업,전북지사
롯데컬쳐웍스(주),환경 미화원,상용직,시급,9620.0,무관,"서울특별시 송파구 올림픽로 269 (신천동, 롯데캐슬골드) 4층",대기업,전북지사
서울석촌초등학교,환경 미화원,계약직,시급,12030.0,무관,서울특별시 송파구 가락로11길 26 (석촌동),"공사,공공",서울동부지사
서울잠현초등학교<직장>,환경 미화원,계약직,시급,12030.0,무관,서울특별시 송파구 잠실4동 시영아파트 17-3번지,"공사,공공",서울동부지사
굿윌본부,일반상점 판매원,계약직,시급,9620.0,무관,서울특별시 송파구 새말로10길 19 (문정동),중소,서울동부지사
쿠팡 주식회사,총무 및 일반 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,부산지역본부
씨피엘비,사무 보조원,계약직,월급,1020000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
씨피엘비,총무 및 일반 사무원,계약직,월급,1020000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
케이디헬스케어,매장 정리원(매장 보조원),상용직,월급,1200000.0,무관,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴 5층 E13호 ,중소,서울동부지사
쿠팡풀필먼트서비스유한회사,사무 보조원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,충남지사
쿠팡 주식회사,사무 보조원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,경기동부지사
쿠팡 주식회사,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,경기동부지사
쿠팡 주식회사,보험 심사원 및 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,경기동부지사
쿠팡 주식회사,프로그래밍·웹·웹디자인·DB 강사,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,경기동부지사
정신여자고등학교,환경 미화원,계약직,시급,12030.0,무관,서울특별시 송파구 올림픽로4길 16 정신여자고등학교 (잠실동),중소,서울동부지사
가동초등학교,도서 정리원 및 사서보조원,계약직,시급,12030.0,무관,서울특별시 송파구 중대로20길 47 (가락동),"공사,공공",서울동부지사
서울영풍초등학교,도서 정리원 및 사서보조원,계약직,시급,12030.0,무관,서울특별시 송파구 오금로57길 15 (거여동),"공사,공공",서울동부지사
가락중학교,환경 미화원,계약직,시급,12030.0,무관,"서울특별시 송파구 송이로 45 (송파동,가락중학교)","공사,공공",서울동부지사
서울솔가람유치원,경비 관리자,계약직,시급,12030.0,무관,서울특별시 송파구 위례순환로 419 (장지동),"공사,공공",서울동부지사
에이피알 커뮤니케이션즈,환경 미화원,계약직,시급,9620.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
쿠팡풀필먼트서비스유한회사,마케팅·광고·홍보·상품기획 사무원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,서울동부지사
방이복지관,기타 서비스 단순종사원,계약직,시급,12100.0,무관,서울특별시 송파구 백제고분로37길 4 5층 송파구방이복지관 (석촌동),중소,서울동부지사
서울오륜초등학교,건물 청소원(클린마스터),계약직,시급,12030.0,무관,서울특별시 송파구 양재대로 1196 (방이동),"공사,공공",서울동부지사
서울방이초등학교,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,12030.0,무관,서울특별시 송파구 위례성대로10길 4 (방이동),"공사,공공",서울동부지사
서울거여초등학교,사서,계약직,시급,12030.0,무관,서울특별시 송파구 마천로25길 18 (오금동),"공사,공공",서울동부지사
오주중학교,환경 미화원,계약직,시급,12030.0,무관,서울특별시 송파구 동남로 281 (오금동),"공사,공공",서울동부지사
오픈핸즈주식회사,환경 미화원,계약직,월급,1030000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 16층 (신천동),중소,경기동부지사
쿠팡풀필먼트서비스유한회사,모니터 요원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기동부지사
동경(주)잠실지점,주방 보조원(일반 음식점),상용직,월급,2010580.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 지하 1층,중소,서울동부지사
(주)공업사스토어,배송·납품 운전원(납품영업 포함),상용직,연봉,30000000.0,무관,서울특별시 송파구 송파대로 201 테라타워2 A동 1507-1508호,중소,서울동부지사
(주)공업사스토어,기타 서비스 단순종사원,상용직,월급,1100000.0,무관,서울특별시 송파구 송파대로 201 테라타워2 A동 1507-1508호,중소,서울동부지사
(주)한국디씨엠,섬유·의복 분야 단순 종사원,상용직,월급,2300000.0,무관,"서울특별시 송파구 송파대로 201 테라타워2 A동 G205호, G206호, G208호 (문정동)",중소,서울동부지사
쿠팡풀필먼트서비스유한회사,인사 사무원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기지역본부
(주)미라콤아이앤씨,IT 기술지원 전문가,계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
(주)아데코코리아,창고 관리원,상용직,월급,2400000.0,무관,서울특별시 송파구 백제고분로 69  (잠실동),중소,인천지사
(주)아데코코리아,기타 기계 조작원,계약직,시급,9620.0,무관,서울특별시 송파구 백제고분로 69  (잠실동),중소,충북지사
(주)미라콤아이앤씨,인사 사무원,계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
쿠팡 주식회사,마케팅·광고·홍보·상품기획 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,환경 미화원,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,환경·청소 관리자,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
한국육영학교,건물 청소원(클린마스터),계약직,시급,10000.0,무관,서울특별시 송파구 장지동 45-4,"공사,공공",서울동부지사
에이피알 커뮤니케이션즈,환경 미화원,계약직,월급,2010580.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
씨피엘비,총무 및 일반 사무원,계약직,월급,1020000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
씨피엘비,사무 보조원,계약직,월급,1020000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
씨피엘비,인사 사무원,계약직,월급,1020000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
씨피엘비,총무 및 일반 사무원,계약직,월급,1020000.0,무관,서울특별시 송파구 올림픽로35다길 32  (신천동),중소,서울동부지사
서울인공지능고등학교,건물 청소원(클린마스터),계약직,시급,12030.0,무관,서울특별시 송파구 양산로 21 (거여동),"공사,공공",서울동부지사
(주)풀무원푸드앤컬처,주방 보조원(일반 음식점),계약직,시급,9620.0,무관,서울특별시 송파구 송파대로34길 29 (송파동),대기업,서울동부지사
(주)파리크라상 라그릴리아 현대시티몰 가든파이브점,음료 조리사,상용직,월급,2031480.0,무관,서울특별시 송파구 충민로 66 (문정동) 5층,대기업,서울동부지사
에이피알 커뮤니케이션즈,환경 미화원,계약직,월급,2010580.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
쿠팡풀필먼트서비스유한회사,콜센터 상담원(콜센터·고객센터·CS센터),계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,충북지사
롯데컬처웍스(주),환경 미화원,상용직,시급,9620.0,무관,서울특별시 송파구 올림픽로 300 (신천동)27층,대기업,충북지사
동경(주)잠실지점,주방 보조원(일반 음식점),상용직,월급,2010580.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 지하 1층,중소,서울동부지사
에이피알 커뮤니케이션즈,환경 미화원,계약직,월급,1010100.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
쿠팡 주식회사,환경 미화원,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,환경·청소 관리자,계약직,월급,1510000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,사무 보조원,계약직,월급,1020000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
(주)공업사스토어,배송·납품 운전원(납품영업 포함),상용직,연봉,30000000.0,무관,서울특별시 송파구 송파대로 201 테라타워2 A동 1507-1508호,중소,서울동부지사
서울아산병원,기타 서비스 단순종사원,계약직,월급,1420000.0,무관,서울특별시 송파구 올림픽로43길 88  (풍납동),중소,서울동부지사
쿠팡풀필먼트서비스유한회사,사무 보조원,상용직,시급,9620.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,전북지사
쿠팡풀필먼트서비스유한회사,사무 보조원,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,대구직업능력개발원
롯데컬처웍스(주),매장 정리원(매장 보조원),시간제,시급,9620.0,무관,서울특별시 송파구 올림픽로 300 (신천동) 27층,대기업,서울남부지사
오픈핸즈주식회사,물류 사무원(물류 관리사),계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 16층 (신천동),중소,경기동부지사
동경(주)잠실지점,주방 보조원(일반 음식점),상용직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 지하 1층,중소,서울동부지사
쿠팡 주식회사,환경·청소 관리자,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
(주)섬기고나누며누리는사람들,환경 미화원,계약직,시급,9620.0,무관,서울특별시 송파구 동남로24길 11 (103호(오금동),중소,서울동부지사
쿠팡 주식회사,환경·청소 관리자,계약직,월급,1220000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
에이피알 커뮤니케이션즈,환경 미화원,계약직,월급,2010580.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
(주)미라콤아이앤씨,IT 테스터 및 IT QA 전문가,계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
롯데컬쳐웍스(주),기타 서비스 단순종사원,상용직,시급,9620.0,무관,"서울특별시 송파구 올림픽로 269 (신천동, 롯데캐슬골드) 4층",대기업,경기동부지사
(주)체인지포인트,총무 및 일반 사무원,계약직,시급,9620.0,무관,서울특별시 송파구 올림픽로 지하 196 (잠실동) 신천창업인큐베이터,중소,서울동부지사
(주)파리크라상 라그릴리아 현대시티몰 가든파이브점,주방 보조원(일반 음식점),상용직,월급,2031480.0,무관,서울특별시 송파구 충민로 66 (문정동) 5층,대기업,서울동부지사
에이피알 커뮤니케이션즈,총무 및 일반 사무원,계약직,월급,2010580.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
한국맥도날드 (유) 석촌역점,매장 정리원(매장 보조원),상용직,시급,9620.0,무관,서울특별시 송파구 백제고분로 390 84 (송파동),중소,서울동부지사
쿠팡 주식회사,UX/UI 디자이너,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,교육·훈련 사무원,계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,총무 및 일반 사무원,계약직,월급,1020000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,고객 상담원(인터넷·통신),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
쿠팡 주식회사,홈페이지 자료관리원(정보검색 포함),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
나래공방협동조합,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620.0,무관,서울특별시 송파구 문정로 246 (마천동)송파사회적경제지원센터 성장기 입주사무실,개인,서울동부지사
서울아산병원,기타 서비스 단순종사원,계약직,월급,1420000.0,무관,서울특별시 송파구 올림픽로43길 88  (풍납동),중소,서울동부지사
서울아산병원,사무 보조원,계약직,월급,1420000.0,무관,서울특별시 송파구 올림픽로43길 88  (풍납동),중소,서울동부지사
주식회사피앤피아이앤씨,환경 미화원,상용직,월급,1005290.0,무관,서울특별시 송파구 마천로 196 (오금동),중소,서울동부지사
쿠팡풀필먼트서비스유한회사,물류 사무원(물류 관리사),상용직,월급,2600000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,경기동부지사
롯데쇼핑(주)롯데슈퍼사업본부,매장 정리원(매장 보조원),계약직,시급,9620.0,무관,"서울특별시 송파구 올림픽로 269 3층 (신천동, 롯데캐슬골드)",중소,서울동부지사
쿠팡 주식회사,생산·품질 사무원 및 관리원(그 외 분야),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,경기동부지사
(사)한국건강관리협회 서울특별시강남지부,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1360000.0,무관,"서울특별시 송파구 올림픽로 269 5층 (신천동, 롯데캐슬골드)",중소,서울동부지사
쿠팡풀필먼트서비스유한회사,기타 텔레마케터,계약직,월급,1080000.0,무관,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,광주지역본부
쿠팡 주식회사,생산·품질 사무원 및 관리원(그 외 분야),계약직,월급,1020000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,경기동부지사
(주)미라콤아이앤씨,환경 미화원,계약직,월급,1155000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
(주)미라콤아이앤씨,인사 사무원,계약직,연봉,30000000.0,무관,서울특별시 송파구 올림픽로35길 123 향군타워 10층 (신천동),중소,서울동부지사
에이피알 커뮤니케이션즈,음료 조리사,계약직,월급,1570000.0,무관,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사
쿠팡 주식회사,홈페이지 자료관리원(정보검색 포함),계약직,월급,2100000.0,무관,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사
